diseaseNID,diseaseId,diseaseName,type
8534,C0344925,Perimembranous ventricular septal defect,disease
8541,C0345002,Quadricuspid aortic valve,disease
8542,C0345030,Peripheral pulmonary artery stenosis,disease
8544,C0345050,Congenital aneurysm of ascending aorta,disease
8562,C0345354,Radial polydactyly,disease
8566,C0345392,Congenital kyphoscoliosis,disease
8568,C0345397,Accessory rib,disease
8570,C0345407,"OSTEOPETROSIS, AUTOSOMAL RECESSIVE 3",disease
8577,C0345832,Neoplasm of small intestine,disease
8578,C0345893,Juvenile polyposis syndrome,disease
8580,C0345904,Malignant neoplasm of liver,disease
8581,C0345905,Intrahepatic Cholangiocarcinoma,disease
8586,C0345958,Large cell carcinoma of lung,disease
8591,C0345967,Malignant mesothelioma,disease
8595,C0345988,Neoplasm of skin with adnexal differentiation,disease
8597,C0345996,Milium Cyst,disease
8598,C0346010,Multiple fibrofolliculomas,disease
8605,C0346037,Acral Lentiginous Malignant Melanoma,disease
8624,C0346153,"Breast Cancer, Familial",disease
8629,C0346163,Endometrioid carcinoma ovary,disease
8630,C0346167,Undifferentiated carcinoma of ovary,disease
8642,C0346191,Carcinoma in situ of endometrium,disease
8658,C0346326,Optic Nerve Glioma,disease
8666,C0346373,Malignant melanoma of iris,disease
8677,C0346421,Chronic eosinophilic leukemia,disease
8681,C0346627,Intestinal Cancer,disease
8682,C0346629,Malignant neoplasm of large intestine,disease
8683,C0346647,Malignant neoplasm of pancreas,disease
8693,C0346990,Carcinomatosis of peritoneal cavity,disease
8708,C0347284,Benign tumor of pancreas,disease
8713,C0347646,Perforation of colon,disease
8716,C0347915,Congenital malformation syndromes associated with short stature,disease
8732,C0348626,Other specified cardiac arrhythmias,phenotype
8736,C0348890,"Aplastic anemia, idiopathic",disease
8747,C0349198,Acute transient psychotic disorder,disease
8748,C0349204,Nonorganic psychosis,disease
8754,C0349255,Nonorganic Insomnia,disease
8757,C0349398,Paranoid delusion,disease
8769,C0349489,Fetal Hypoxia,disease
8770,C0349506,Photosensitivity of skin,phenotype
8789,C0349566,Squamous cell carcinoma of tongue,disease
8791,C0349578,Complex Endometrial Hyperplasia,disease
8794,C0349588,Short stature,phenotype
8795,C0349604,Intracranial Meningioma,disease
8803,C0349636,Pre B-cell acute lymphoblastic leukemia,disease
8805,C0349639,Juvenile Myelomonocytic Leukemia,disease
8808,C0349653,Congenital disorder of glycosylation type 1A,disease
8816,C0349702,Corneal Scar,phenotype
8822,C0349788,Arrhythmogenic Right Ventricular Dysplasia,disease
8823,C0353676,Organophosphorus Poisoning,disease
8825,C0362046,Prediabetes syndrome,disease
8827,C0373595,Creatinine clearance measurement,phenotype
8829,C0373601,Dihydrotestosterone Assay,phenotype
8830,C0373607,Ferritin measurement,phenotype
8831,C0373675,Magnesium measurement,phenotype
8833,C0373705,Progesterone measurement,phenotype
8834,C0373721,Selenium measurement,phenotype
8835,C0373745,Vitamin A measurement,phenotype
8843,C0375206,Hemiplegia/hemiparesis,disease
8845,C0375359,Chronic left-sided ulcerative colitis,disease
8854,C0376280,"Anxiety States, Neurotic",disease
8858,C0376300,Dengue Shock Syndrome,disease
8862,C0376338,"Diagnosis, Psychiatric",disease
8864,C0376358,Malignant neoplasm of prostate,disease
8867,C0376384,Nicotine Use Disorder,phenotype
8868,C0376407,Granulomatous Slack Skin,disease
8870,C0376480,Gingival Overgrowth,phenotype
8871,C0376524,Branchio-Oculo-Facial Syndrome,disease
8873,C0376532,"Epilepsy, Rolandic",disease
8875,C0376545,Hematologic Neoplasms,group
8876,C0376618,Endotoxemia,phenotype
8878,C0376628,Chromosome Breakage,phenotype
8879,C0376634,Craniofacial Abnormalities,group
8880,C0376670,"Pancreatitis, Alcoholic",disease
8883,C0376705,Viral Load result,phenotype
8884,C0391816,Tietz syndrome,disease
8887,C0391826,Lhermitte-Duclos disease,disease
8904,C0392163,Corneal erosion,disease
8905,C0392164,Pulmonary Cystic Fibrosis,disease
8912,C0392188,Abnormal rapid eye movement sleep,phenotype
8923,C0392475,Roberts-SC phocomelia syndrome,disease
8924,C0392476,Epiphyseal dysplasia,disease
8929,C0392514,Hereditary hemochromatosis,disease
8931,C0392525,Nephrolithiasis,disease
8935,C0392557,Nuclear cataract,disease
8936,C0392607,Severe combined immunodeficiency due to adenosine deaminase deficiency,disease
8944,C0392699,Dysesthesia,phenotype
8945,C0392702,Abnormal involuntary movement,disease
8948,C0392777,Poikiloderma,disease
8950,C0392788,Nasal Type Extranodal NK/T-Cell Lymphoma,disease
8951,C0392885,High density lipoprotein measurement,phenotype
8962,C0393525,Progressive cerebellar ataxia,disease
8964,C0393538,"Muscular Atrophy, Spinal, Type II",disease
8966,C0393541,Distal Spinal Muscular Atrophy,disease
8969,C0393554,Amyotrophic Lateral Sclerosis With Dementia,disease
8974,C0393561,Subcortical Vascular Dementia,disease
8977,C0393571,Multiple System Atrophy,phenotype
8982,C0393584,Benign Hereditary Chorea,disease
8985,C0393591,AICARDI-GOUTIERES SYNDROME,disease
8992,C0393615,Familial Tremor,disease
8995,C0393642,Sepsis-Associated Encephalopathy,disease
8997,C0393665,"Multiple Sclerosis, Chronic Progressive",disease
9001,C0393676,Panayiotopoulos Syndrome,disease
9004,C0393682,"Epilepsy, Lateral Temporal",disease
9005,C0393683,"Epilepsy, Supplementary Motor",disease
9007,C0393688,"Epilepsy, Opercular",disease
9012,C0393698,Cryptogenic Infantile Spasms,disease
9013,C0393699,Symptomatic Infantile Spasms,disease
9014,C0393702,Myoclonic Astatic Epilepsy,disease
9015,C0393703,Myoclonic Absence Epilepsy,disease
9016,C0393706,Early infantile epileptic encephalopathy with suppression bursts,disease
9022,C0393734,Complex Partial Status Epilepticus,disease
9030,C0393759,Transient Insomnia,phenotype
9033,C0393770,Delayed Sleep Phase Syndrome,disease
9037,C0393787,Secondary Trigeminal Neuralgia,disease
9039,C0393807,Hereditary motor and sensory neuropathy with optic atrophy (disorder),disease
9040,C0393808,"Charcot-Marie-Tooth disease, X-linked, 1",disease
9041,C0393814,Hereditary liability to pressure palsies,disease
9044,C0393835,Diabetic Asymmetric Polyneuropathy,disease
9051,C0393929,Familial infantile myasthenia,disease
9064,C0394006,Dysequilibrium syndrome,disease
9069,C0395837,Stenosis of external auditory canal,disease
9098,C0398568,Blood group deletion syndrome,disease
9106,C0398623,Thrombophilia,disease
9107,C0398625,Protein C Deficiency,disease
9113,C0398641,Epstein syndrome (disorder),disease
9116,C0398650,Immune thrombocytopenic purpura,disease
9119,C0398686,Primary immune deficiency disorder,group
9120,C0398689,"Hyper-IgM Immunodeficiency Syndrome, Type 1",disease
9121,C0398691,Hyperimmunoglobulinemia D,disease
9128,C0398738,Leukocyte adhesion deficiency type 1,disease
9130,C0398746,Gluthathione synthetase deficiency,disease
9136,C0398777,Complement Factor H Deficiency,disease
9138,C0398788,"Immunodeficiency syndrome, variable",disease
9139,C0398791,Nijmegen Breakage Syndrome,disease
9142,C0399352,Developmental absence of tooth,disease
9146,C0399368,"Amelogenesis Imperfecta, Type IB",disease
9147,C0399372,Amelogenesis Imperfecta hypomaturation type,disease
9150,C0399378,Dentinogenesis imperfecta - Shield's type III (disorder),disease
9152,C0399380,"Dentin dyspalsia, Shields type 2",disease
9163,C0399526,Class III malocclusion,disease
9173,C0400823,Neutropenic colitis,disease
9182,C0400966,Non-alcoholic Fatty Liver Disease,disease
9185,C0400979,Obstruction of biliary tree,disease
9190,C0401149,Chronic constipation,phenotype
9191,C0401151,Chronic diarrhea,disease
9195,C0403397,Steroid-resistant nephrotic syndrome,disease
9197,C0403399,Finnish congenital nephrotic syndrome,disease
9200,C0403416,Idiopathic crescentic glomerulonephritis,disease
9207,C0403477,Medullary nephrocalcinosis,disease
9214,C0403553,Renal dysplasia and retinal aplasia (disorder),disease
9215,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease
9234,C0403810,Oligosynaptic Infertility,disease
9237,C0403814,Congenital bilateral aplasia of vas deferens,disease
9239,C0403823,Asthenozoospermia,disease
9240,C0403824,Teratozoospermia,disease
9241,C0403825,Globozoospermia,phenotype
9258,C0406208,Suntan,phenotype
9275,C0406438,Pterygium of nail,disease
9285,C0406537,Morbilliform Drug Reaction,disease
9287,C0406557,Poikiloderma of Kindler,disease
9291,C0406585,Lethal tight skin contracture syndrome (disorder),disease
9292,C0406586,Wiedemann-Rautenstrauch syndrome,disease
9295,C0406612,Encephalocraniocutaneous lipomatosis,disease
9305,C0406702,"Ectodermal Dysplasia, Hypohidrotic, Autosomal Recessive",disease
9309,C0406716,Hypodontia and nail dysgenesis,disease
9310,C0406723,"Growth retardation, Alopecia, Pseudoanodontia and Optic atrophy",disease
9313,C0406733,Curly hair-ankyloblepharon-nail dysplasia syndrome,disease
9315,C0406740,Kohlschutter Tonz syndrome,disease
9320,C0406778,Dermatopathia pigmentosa reticularis,disease
9322,C0406810,Carney Complex,disease
9323,C0406811,Reticulate acropigmentation of Kitamura,disease
9332,C0409338,Flexion contracture - elbow,disease
9333,C0409345,Flexion contracture - wrist,disease
9335,C0409348,Flexion contracture of proximal interphalangeal joint,phenotype
9336,C0409354,Flexion contracture of hip,disease
9337,C0409477,Ankylosis of the elbow joint,disease
9349,C0409818,"Chronic Infantile Neurological, Cutaneous, and Articular Syndrome",disease
9358,C0409959,"Osteoarthritis, Knee",disease
9369,C0410173,Severe autosomal recessive muscular dystrophy of childhood - North African type (disorder),disease
9370,C0410174,Fukuyama Type Congenital Muscular Dystrophy,disease
9371,C0410179,Ullrich congenital muscular dystrophy 1,disease
9372,C0410180,Eichsfeld type congenital muscular dystrophy,disease
9373,C0410189,"Muscular Dystrophy, Emery-Dreifuss",disease
9374,C0410190,Autosomal Dominant Emery-Dreifuss Muscular Dystrophy (disorder),disease
9377,C0410203,X-linked centronuclear myopathy,disease
9378,C0410204,"Myopathy, Centronuclear, Autosomal Recessive",disease
9379,C0410207,Tubular Aggregate Myopathy,disease
9383,C0410264,Contracture of tendo achilles,disease
9390,C0410528,Skeletal dysplasia,disease
9391,C0410529,Hypochondroplasia (disorder),disease
9392,C0410530,Metachondromatosis,disease
9395,C0410538,Pseudoachondroplasia,disease
9397,C0410574,Synovial Hypertrophy,disease
9398,C0410606,Cervical Disc Degenerative Disorder,disease
9402,C0410632,Schmorl's nodes,disease
9409,C0410702,Adolescent idiopathic scoliosis,disease
9414,C0410916,Neonatal Death,phenotype
9418,C0419415,Birth length,phenotype
9419,C0422837,Neurological observations,group
9420,C0422850,"Seizures, Somatosensory",phenotype
9421,C0422852,"Seizures, Auditory",phenotype
9422,C0422853,Olfactory seizure,phenotype
9423,C0422854,Gustatory seizure,phenotype
9424,C0422855,Vertiginous seizure,phenotype
9431,C0423082,Hypometric saccades,phenotype
9434,C0423109,Upward slant of palpebral fissure,phenotype
9435,C0423110,Downward slant of palpebral fissure,phenotype
9436,C0423112,Short palpebral fissure,phenotype
9437,C0423113,Telecanthus,phenotype
9439,C0423224,Sunken eyes,phenotype
9440,C0423250,Corneal stromal opacities,phenotype
9442,C0423276,Shallow anterior chamber of eye,phenotype
9444,C0423318,Heterochromia iridis,phenotype
9449,C0423361,Posterior Vitreous Detachment,disease
9450,C0423414,Retinal flecking,phenotype
9452,C0423421,Atrophic macular change,phenotype
9453,C0423428,Scarred macula,phenotype
9454,C0423431,Subretinal exudate,phenotype
9458,C0423618,Throbbing Headache,phenotype
9467,C0423711,"Neuralgia, Perineal",phenotype
9468,C0423712,"Neuralgia, Iliohypogastric Nerve",phenotype
9474,C0423757,Thin skin,phenotype
9479,C0423791,Maculopapular Lesion,phenotype
9480,C0423798,Increased tendency to bruise,phenotype
9481,C0423807,Overcurvature of nail,phenotype
9483,C0423813,Splits in nails (finding),phenotype
9485,C0423823,Thin nails,phenotype
9486,C0423848,Distichiasis,disease
9487,C0423867,Fine hair,phenotype
9497,C0424230,Motor retardation,phenotype
9499,C0424295,Hyperactive behavior,phenotype
9500,C0424296,Social disinhibition,disease
9504,C0424375,Biting self,phenotype
9505,C0424448,Mask-like facies,phenotype
9507,C0424492,Coarse features,phenotype
9508,C0424503,Dysmorphic facies,phenotype
9509,C0424551,Impaired exercise tolerance,phenotype
9511,C0424574,Duration of sleep,phenotype
9512,C0424605,Developmental delay (disorder),phenotype
9513,C0424621,Body Fat Distribution,phenotype
9514,C0424678,Lean body mass,phenotype
9518,C0424711,Orbital separation diminished,phenotype
9519,C0424731,Single transverse palmar crease,phenotype
9522,C0424939,Learning difficulties,phenotype
9529,C0425782,Breast size,phenotype
9533,C0425957,Secondary amenorrhea,phenotype
9539,C0426415,Large nose,phenotype
9540,C0426421,Wide nose,phenotype
9541,C0426422,Narrow nose,phenotype
9542,C0426428,Bifid nasal tip,phenotype
9543,C0426429,Broad nasal tip,phenotype
9544,C0426430,Drooping nasal tip,phenotype
9545,C0426433,Pinched nasal tip,phenotype
9549,C0426501,Short frenulum of tongue,phenotype
9555,C0426789,Short thorax,phenotype
9556,C0426790,Narrow thorax,phenotype
9557,C0426799,Congenital hypoplasia of clavicle,disease
9559,C0426805,Hooked clavicle,phenotype
9560,C0426807,Short clavicle,phenotype
9561,C0426808,Long clavicle,phenotype
9563,C0426816,Absence of rib,phenotype
9564,C0426817,Short ribs,phenotype
9565,C0426818,Thin rib,phenotype
9567,C0426824,Beading of ribs,disease
9569,C0426848,Sacral dimple,phenotype
9570,C0426868,Absence of hand,phenotype
9571,C0426870,Large hand,phenotype
9573,C0426886,Tapering fingers (finding),phenotype
9574,C0426891,Broad thumbs,phenotype
9575,C0426900,Tibial torsion,phenotype
9579,C0426970,Spastic Quadriplegia,disease
9583,C0427063,Shoulder girdle weakness,phenotype
9584,C0427064,Pelvic girdle weakness,phenotype
9585,C0427065,Distal muscle weakness,phenotype
9586,C0427086,Involuntary Movements,phenotype
9588,C0427144,Toe-walking gait,phenotype
9589,C0427149,"Gait, Drop Foot",phenotype
9592,C0427190,"Ataxia, Truncal",phenotype
9597,C0427460,Red cell distribution width determination,phenotype
9600,C0427515,Neutrophil abnormality,phenotype
9601,C0427543,Increased blood monocyte number,phenotype
9607,C0428282,Serum creatinine low,phenotype
9608,C0428302,Calcium level result,phenotype
9609,C0428321,Measurement of liver enzyme,phenotype
9610,C0428402,Human chorionic gonadotropin measurement,phenotype
9611,C0428419,Triiodothyronine measurement,phenotype
9612,C0428465,Serum lipids high (finding),phenotype
9613,C0428472,Serum HDL cholesterol measurement,phenotype
9614,C0428474,Serum LDL cholesterol measurement,phenotype
9615,C0428545,Serum transferrin measurement,phenotype
9616,C0428568,Fasting blood glucose measurement,phenotype
9618,C0428580,Vitamin measurement,phenotype
9620,C0428791,Aortic valve calcification,disease
9624,C0428883,Diastolic blood pressure,phenotype
9625,C0428886,Mean blood pressure,phenotype
9626,C0428908,Sinus Node Dysfunction (disorder),disease
9628,C0428975,Supraventricular Arrhythmia by ECG Finding,phenotype
9629,C0428977,Bradycardia,phenotype
9630,C0429021,P wave duration (observable entity),phenotype
9631,C0429028,QT interval feature (observable entity),phenotype
9632,C0429087,Electrocardiogram: P-R interval,phenotype
9633,C0429097,QRS complex feature,phenotype
9638,C0429494,Ocular axial length,phenotype
9641,C0429908,Susceptibility to tuberculosis,phenotype
9643,C0431108,Anaplastic Oligoastrocytoma,disease
9644,C0431109,Choroid Plexus Carcinoma,disease
9647,C0431121,Clear Cell Meningioma,disease
9652,C0431129,Adamantinous Craniopharyngioma,disease
9657,C0431350,Primary microcephaly,disease
9660,C0431362,Lobar Holoprosencephaly,disease
9661,C0431363,Alobar Holoprosencephaly,disease
9663,C0431368,Partial agenesis of corpus callosum,disease
9666,C0431371,Absence of septum pellucidum,disease
9667,C0431375,Classical Lissencephaly,disease
9668,C0431376,Cobblestone Lissencephaly,disease
9671,C0431380,Cortical Dysplasia,disease
9672,C0431384,Colpocephaly,disease
9674,C0431391,Hemimegalencephaly,disease
9675,C0431399,Familial aplasia of the vermis,disease
9676,C0431401,Gillespie syndrome,disease
9683,C0431447,Synophrys,disease
9684,C0431448,Absent eyebrow,disease
9685,C0431478,Posteriorly rotated ear,disease
9688,C0431564,Lobulated tongue,disease
9689,C0431565,Hamartoma of tongue,phenotype
9693,C0431659,Hypoplasia of scrotum,phenotype
9694,C0431663,Bilateral Cryptorchidism,disease
9695,C0431664,Unilateral Cryptorchidism,disease
9699,C0431693,Renal cysts and diabetes syndrome,disease
9701,C0431697,Unilateral renal dysplasia,disease
9705,C0431718,Multiple renal cysts,disease
9707,C0431863,Carpal synostosis,disease
9711,C0431890,Hypoplasia of thumb,disease
9712,C0431904,Ulnar polydactyly of fingers,disease
9714,C0431943,"Lower Extremity Deformities, Congenital",group
9719,C0432072,Dysmorphic features,disease
9720,C0432073,Defect of skull ossification,group
9722,C0432098,Cleft Soft Palate,disease
9723,C0432103,Submucous cleft of hard palate,disease
9725,C0432122,Interfrontal craniofaciosynostosis,disease
9732,C0432163,Defect of vertebral segmentation,disease
9733,C0432185,Aplasia of muscle,disease
9737,C0432198,"Short rib-polydactyly syndrome, Beemer type",disease
9738,C0432201,Boomerang dysplasia,disease
9741,C0432214,Namaqualand hip dysplasia,disease
9742,C0432215,Progressive pseudorheumatoid dysplasia,disease
9743,C0432217,Wolcott-Rallison syndrome,disease
9745,C0432221,"Spondylometaphyseal dysplasia, 'corner fracture' type",disease
9749,C0432227,Brachyolmia Type 3,disease
9751,C0432230,Langer Mesomelic Dysplasia Syndrome,disease
9754,C0432235,CRANIOECTODERMAL DYSPLASIA 1,disease
9759,C0432243,Spondyloepimetaphyseal Dysplasia With Joint Laxity,disease
9761,C0432246,"Microcephalic Osteodysplastic Primordial Dwarfism, Type II",disease
9762,C0432252,Osteoporosis with pseudoglioma,disease
9769,C0432268,Osteopathia striata cranial sclerosis,disease
9770,C0432269,Lenz Majewski hyperostotic dwarfism,disease
9771,C0432272,Van Buchem disease,disease
9775,C0432283,Osteoglophonic dwarfism,disease
9776,C0432284,Infantile myofibromatosis,disease
9777,C0432289,Winchester syndrome (disorder),disease
9778,C0432291,Mandibuloacral dysostosis,disease
9782,C0432306,Ichthyosis Bullosa of Siemens,disease
9786,C0432317,"Epidermolysis bullosa simplex, Ogna type",disease
9787,C0432321,"Epidermolysis bullosa, pretibial",disease
9788,C0432322,"Dominant dystrophic epidermolysis bullosa, albopapular type (disorder)",disease
9792,C0432333,Abnormal dermatoglyphic pattern,disease
9796,C0432355,Hypoplasia of nipple,disease
9806,C0432417,"Trisomy 21, Meiotic Nondisjunction",disease
9811,C0432475,XX males,disease
9828,C0441683,Hormone measurement,group
9831,C0442840,Cardiac embolism,disease
9835,C0442874,Neuropathy,group
9843,C0451641,Urolithiasis,disease
9848,C0451697,Immunodeficiency following hereditary defective response to Epstein-Barr virus,phenotype
9850,C0451720,"Nephrotic syndrome, focal and segmental glomerular lesions",disease
9856,C0452138,"Sensorineural hearing loss, bilateral",disease
9862,C0454455,Mirror movements disorder,disease
9872,C0454596,"Dysarthria, Spastic",phenotype
9874,C0454598,"Dysarthria, Mixed",phenotype
9878,C0454608,"Apraxia, Oral",disease
9880,C0454641,Expressive language delay,phenotype
9881,C0454642,Receptive language delay,disease
9883,C0454644,Delayed speech and language development,phenotype
9885,C0454651,Specific language impairment,disease
9888,C0455308,Serum selenium measurement,phenotype
9892,C0455792,Small scrotum,phenotype
9893,C0455806,Infant length,phenotype
9894,C0455825,Left ventricular mass,phenotype
9895,C0455829,Waist Circumference,phenotype
9897,C0455988,"Hydrops Fetalis, Non-Immune",disease
9903,C0456070,Growth delay,phenotype
9906,C0456103,Sepsis of the newborn,disease
9909,C0456132,Large fontanelle,phenotype
9913,C0456487,Peutz Jehgers polyp,disease
9923,C0456909,Blindness,phenotype
9924,C0457013,Weyers acrofacial dysostosis,disease
9925,C0457133,Muscle eye brain disease,disease
9927,C0457190,Xanthomatous Meningioma,disease
9938,C0457756,Tooth absent,phenotype
9945,C0458247,Allodynia,phenotype
9946,C0458257,"Pain, Splitting",phenotype
9947,C0458259,"Pain, Crushing",phenotype
9953,C0472383,"Subarachnoid Hemorrhage, Spontaneous",phenotype
9955,C0472387,Vasogenic Cerebral Edema,phenotype
9961,C0472767,Beta thalassemia intermedia,disease
9963,C0472777,Hemoglobin E/beta thalassemia disease,disease
9969,C0472813,X-linked agammaglobulinemia with growth hormone deficiency,disease
9971,C0472817,WHIM syndrome,disease
9975,C0473133,Protracted diarrhea,disease
9976,C0473219,Renal hypouricemia,disease
9982,C0473527,Hypoalphalipoproteinemias,disease
9988,C0473579,Porokeratotic eccrine ostial and dermal duct nevus,disease
9994,C0474350,Color of iris,phenotype
10004,C0474535,Mean corpuscular hemoglobin concentration determination,phenotype
10033,C0476089,Endometrial Carcinoma,disease
10036,C0476217,Head movements abnormal,phenotype
10041,C0476254,Dyslexia,disease
10043,C0476273,Respiratory distress,phenotype
10048,C0476397,Electroretinogram abnormal,phenotype
10049,C0476403,Electromyogram abnormal,phenotype
10059,C0477325,Immunodeficiency associated with other specified major defects,disease
10061,C0477362,Other specified extrapyramidal and movement disorders,disease
10064,C0477432,Post-Traumatic Hydrocephalus,disease
10073,C0477729,Other chronic tubulo-interstitial nephritis,disease
10075,C0477972,Other specified congenital malformations of brain,disease
10077,C0477984,Other congenital malformations of anterior segment of eye,disease
10080,C0478019,Other specified congenital malformations of respiratory system,disease
10091,C0489786,Height,phenotype
10097,C0494261,Combined immunodeficiency,disease
10102,C0494410,Nonorganic Sleep Wake Cycle Disorders,disease
10104,C0494463,"Alzheimer Disease, Late Onset",disease
10105,C0494475,Tonic - clonic seizures,disease
10117,C0495706,elevated blood glucose level,phenotype
10118,C0496758,Malignant neoplasm of lateral floor of mouth,disease
10119,C0496775,Malignant neoplasm of abdominal part of esophagus,disease
10126,C0496899,"Benign neoplasm of brain, unspecified",disease
10128,C0496905,Neoplasm of uncertain or unknown behavior of stomach,disease
10129,C0496920,Neoplasm of uncertain or unknown behavior of ovary,disease
10130,C0496924,Neoplasm of uncertain or unknown behavior of testis,disease
10132,C0496956,Neoplasm of uncertain or unknown behavior of breast,disease
10133,C0497156,Lymphadenopathy,phenotype
10135,C0497202,Abnormal ocular motility,phenotype
10142,C0497327,Dementia,disease
10145,C0497406,Overweight,phenotype
10148,C0497552,Congenital neurologic anomalies,group
10149,C0518015,Hemoglobin measurement,phenotype
10150,C0518026,body fat percentage (physical finding),phenotype
10152,C0518656,Chronic fatigue,phenotype
10167,C0520459,Necrotizing Enterocolitis,disease
10168,C0520463,Chronic active hepatitis,disease
10170,C0520477,Prostatic Adenoma,disease
10185,C0520679,"Sleep Apnea, Obstructive",disease
10186,C0520680,"Sleep Apnea, Central",disease
10187,C0520716,Pallidopontonigral degeneration,disease
10191,C0520739,Hereditary pyropoikilocytosis,disease
10200,C0520823,Patellar clonus,phenotype
10204,C0520886,ST segment elevation (finding),phenotype
10210,C0520927,Decreased fertility,phenotype
10212,C0520947,Clumsiness - motor delay,disease
10214,C0520966,Abnormal coordination,phenotype
10218,C0521170,Osteoporotic Fractures,group
10220,C0521174,Microcalcification,phenotype
10227,C0521525,Short neck,phenotype
10233,C0521573,Coloboma of eyelid,phenotype
10236,C0521607,Peritoneal Fibrosis,disease
10241,C0521620,Dilatation of ureter,disease
10242,C0521622,Bilateral hydronephrosis,disease
10247,C0521654,Neurologic Deficits,group
10251,C0521664,Acute Confusional Migraine,disease
10254,C0521683,Chorioretinal degeneration,disease
10271,C0521759,Convergence Nystagmus,disease
10273,C0521761,Non-Fatigable Positional Nystagmus,disease
10277,C0521788,"Tinnitus, Leudet",phenotype
10287,C0522055,Electrocardiogram abnormal,phenotype
10295,C0522214,Abnormal visual evoked potential,phenotype
10296,C0522216,Abnormal auditory evoked potential,phenotype
10297,C0522224,Paralysed,phenotype
10300,C0522345,"Reflex, Acoustic, Abnormal",phenotype
10301,C0522357,"Vertigo, Paroxysmal",phenotype
10303,C0522624,Subcutaneous panniculitis-like T-cell lymphoma,disease
10306,C0523353,Complement factor H measurement,phenotype
10309,C0523446,Acylcarnitines measurement,phenotype
10310,C0523459,Alanine measurement,phenotype
10311,C0523465,Serum albumin measurement,phenotype
10318,C0523560,VLDL cholesterol measurement,phenotype
10322,C0523677,Glycine measurement,phenotype
10325,C0523708,5-Hydroxyindoleacetic acid measurement,phenotype
10326,C0523744,Lipids measurement,group
10331,C0523827,Inorganic phosphate measurement,phenotype
10332,C0523829,Phosphatidylcholine measurement,phenotype
10335,C0523912,Testosterone measurement,phenotype
10339,C0523979,Vitamin D3 measurement,phenotype
10340,C0524524,Pseudoaphakia,disease
10343,C0524582,Mulibrey Nanism,disease
10344,C0524587,Mean Corpuscular Volume (result),phenotype
10346,C0524610,Chronic Alcoholic Hepatitis,disease
10348,C0524620,Metabolic Syndrome X,disease
10354,C0524702,Pulmonary Thromboembolisms,disease
10358,C0524851,Neurodegenerative Disorders,group
10359,C0524909,"Hepatitis B, Chronic",disease
10360,C0524910,"Hepatitis C, Chronic",disease
10364,C0524957,Corneal Topography,phenotype
10366,C0525041,Neurobehavioral Manifestations,phenotype
10367,C0525045,Mood Disorders,group
10372,C0541764,Delayed bone age,phenotype
10375,C0541794,Skeletal muscle atrophy,phenotype
10376,C0541798,Early Awakening,phenotype
10382,C0542035,Erythroid hypoplasia,disease
10389,C0542223,Loss of speech,phenotype
10393,C0542476,Forgetful,phenotype
10394,C0542514,Blue sclera,phenotype
10395,C0542518,Enlarged kidney,phenotype
10402,C0543541,HYPERGLYCINURIA (disorder),disease
10422,C0543859,"Amyotrophic Lateral Sclerosis, Guam Form",disease
10424,C0543888,Epileptic encephalopathy,disease
10437,C0544755,Genu varum,phenotype
10440,C0544796,"Myositis, Proliferative",disease
10448,C0544886,Somatic mutation,phenotype
10449,C0544966,Autophagic vaculoes (finding),phenotype
10452,C0545053,Advanced bone age,phenotype
10459,C0546126,Acute Confusional Senile Dementia,disease
10461,C0546264,Congenital Fiber Type Disproportion,disease
10474,C0546837,Malignant neoplasm of esophagus,disease
10475,C0546878,Nodding spasm,disease
10476,C0546884,Hypovolemia,phenotype
10480,C0546964,Genu recurvatum,disease
10482,C0546966,Monilethrix,disease
10483,C0546967,Posterior embryotoxon,disease
10484,C0546968,Fistula of branchial cleft,disease
10490,C0547065,Mixed oligoastrocytoma,disease
10508,C0549306,Mesomelia,disease
10516,C0549399,Low density lipoprotein increased,phenotype
10520,C0549423,Obstructive Hydrocephalus,disease
10521,C0549448,Hemoglobin increased,phenotype
10522,C0549463,X-Linked Lymphoproliferative Disorder,disease
10524,C0549473,Thyroid carcinoma,disease
10533,C0549629,Abnormal delivery,phenotype
10536,C0553558,Jackknife Seizures,disease
10540,C0553580,Ewings sarcoma,disease
10542,C0553586,Cafe-au-lait macules with pulmonary stenosis,disease
10543,C0553604,Myotonic Disorders,group
10548,C0553681,Hypofibrinogenemia,disease
10558,C0553723,Squamous cell carcinoma of skin,disease
10559,C0553730,Calcium pyrophosphate deposition disease,disease
10564,C0554101,Villous atrophy,phenotype
10571,C0554970,Pallor of optic disc,phenotype
10576,C0555198,Malignant Glioma,disease
10577,C0555202,"Malignant lymphoma - lymphocytic, intermediate differentiation",disease
10578,C0555206,Chiari malformation type II,disease
10585,C0556280,Gross motor impairment,phenotype
10591,C0557874,Global developmental delay,disease
10597,C0558165,Curly hair (finding),phenotype
10607,C0558845,"Reflex, Ankle, Absent",phenotype
10608,C0558846,"Reflex, Triceps, Absent",phenotype
10624,C0560346,Difficulty running,phenotype
10627,C0562350,Hip circumference,phenotype
10631,C0563243,Poor coordination,phenotype
10645,C0566602,Primary sclerosing cholangitis,disease
10646,C0566620,Nasal voice,phenotype
10650,C0566899,Small labia majora,phenotype
10655,C0574002,Edema of foot (finding),phenotype
10658,C0574080,Guanidinoacetate methyltransferase deficiency,disease
