geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
2406,3291,HSD11B2,hydroxysteroid 11-beta dehydrogenase 2,0.11777,0.532,0.808
2407,3292,HSD17B1,hydroxysteroid 17-beta dehydrogenase 1,0.00013421,0.61,0.615
2408,3293,HSD17B3,hydroxysteroid 17-beta dehydrogenase 3,8.4911e-07,0.641,0.346
2410,3295,HSD17B4,hydroxysteroid 17-beta dehydrogenase 4,2.4175e-10,0.546,0.654
2413,3299,HSF4,heat shock transcription factor 4,1.0632e-09,0.663,0.423
2414,3300,DNAJB2,DnaJ heat shock protein family (Hsp40) member B2,5.444e-05,0.743,0.192
2416,3303,HSPA1A,heat shock protein family A (Hsp70) member 1A,0.030228,0.486,0.769
2417,3304,HSPA1B,heat shock protein family A (Hsp70) member 1B,0.0053464,0.474,0.808
2420,3308,HSPA4,heat shock protein family A (Hsp70) member 4,0.99954,0.394,0.923
2421,3309,HSPA5,heat shock protein family A (Hsp70) member 5,0.77341,0.434,0.885
2422,3310,HSPA6,heat shock protein family A (Hsp70) member 6,6.8282e-06,0.743,0.423
2424,3312,HSPA8,heat shock protein family A (Hsp70) member 8,0.99863,0.553,0.808
2425,3313,HSPA9,heat shock protein family A (Hsp70) member 9,0.96852,0.502,0.885
2426,3315,HSPB1,heat shock protein family B (small) member 1,2.7797e-07,0.436,0.808
2428,3320,HSP90AA1,heat shock protein 90 alpha family class A member 1,0.86025,0.411,0.923
2431,3326,HSP90AB1,heat shock protein 90 alpha family class B member 1,0.99923,0.608,0.654
2432,3329,HSPD1,heat shock protein family D (Hsp60) member 1,0.99257,0.432,0.808
2436,3339,HSPG2,heparan sulfate proteoglycan 2,1.0376e-19,0.438,0.885
2437,3340,NDST1,N-deacetylase and N-sulfotransferase 1,0.99995,0.608,0.692
2443,3350,HTR1A,5-hydroxytryptamine receptor 1A,0.19956,0.522,0.846
2444,3351,HTR1B,5-hydroxytryptamine receptor 1B,0.18947,0.551,0.769
2448,3356,HTR2A,5-hydroxytryptamine receptor 2A,0.51124,0.472,0.846
2449,3357,HTR2B,5-hydroxytryptamine receptor 2B,2.6913e-10,0.647,0.538
2450,3358,HTR2C,5-hydroxytryptamine receptor 2C,0.037023,0.555,0.692
2451,3359,HTR3A,5-hydroxytryptamine receptor 3A,1.7499e-10,0.608,0.538
2452,3360,HTR4,5-hydroxytryptamine receptor 4,0.024701,0.61,0.615
2453,3361,HTR5A,5-hydroxytryptamine receptor 5A,0.0062906,0.716,0.231
2454,3362,HTR6,5-hydroxytryptamine receptor 6,0.00018524,0.626,0.5
2455,3363,HTR7,5-hydroxytryptamine receptor 7,0.045409,0.592,0.5
2457,3371,TNC,tenascin C,1.2592e-07,0.433,0.846
2458,3373,HYAL1,hyaluronidase 1,0.00019112,0.633,0.577
2459,3375,IAPP,islet amyloid polypeptide,0.0031814,0.507,0.808
2460,3376,IARS1,isoleucyl-tRNA synthetase 1,1.7339e-21,0.606,0.692
2462,3381,IBSP,integrin binding sialoprotein,1.3519e-11,0.653,0.538
2464,3383,ICAM1,intercellular adhesion molecule 1,0.035295,0.364,0.962
2465,3384,ICAM2,intercellular adhesion molecule 2,0.00075003,0.659,0.462
2466,3385,ICAM3,intercellular adhesion molecule 3,2.7302e-25,0.619,0.654
