geneNID,geneId,geneName,geneDescription,pLI,DSI,DPI
2,2,A2M,alpha-2-macroglobulin,4.5229e-11,0.529,0.769
4,9,NAT1,N-acetyltransferase 1,1.9294e-14,0.536,0.846
5,10,NAT2,N-acetyltransferase 2,3.2744e-06,0.451,0.885
6,12,SERPINA3,serpin family A member 3,8.833e-14,0.486,0.846
9,15,AANAT,aralkylamine N-acetyltransferase,0.002969,0.67,0.692
10,16,AARS1,alanyl-tRNA synthetase 1,1.8242e-08,0.647,0.462
12,18,ABAT,4-aminobutyrate aminotransferase,0.0063216,0.628,0.538
13,19,ABCA1,ATP binding cassette subfamily A member 1,1.4525e-13,0.467,0.846
15,21,ABCA3,ATP binding cassette subfamily A member 3,6.6226e-08,0.592,0.615
16,22,ABCB7,ATP binding cassette subfamily B member 7,0.99994,0.678,0.385
17,23,ABCF1,ATP binding cassette subfamily F member 1,1.2823e-09,0.674,0.538
18,24,ABCA4,ATP binding cassette subfamily A member 4,5.3499e-48,0.493,0.769
19,25,ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",0.99998,0.432,0.923
20,26,AOC1,amine oxidase copper containing 1,6.7236e-08,0.628,0.769
22,28,ABO,"ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase",,0.427,0.885
25,31,ACACA,acetyl-CoA carboxylase alpha,1,0.48,0.846
27,33,ACADL,acyl-CoA dehydrogenase long chain,1.743e-12,0.736,0.462
28,34,ACADM,acyl-CoA dehydrogenase medium chain,2.0548e-12,0.638,0.462
29,35,ACADS,acyl-CoA dehydrogenase short chain,2.8026e-06,0.663,0.538
30,36,ACADSB,acyl-CoA dehydrogenase short/branched chain,2.6565e-11,0.691,0.5
31,37,ACADVL,acyl-CoA dehydrogenase very long chain,4.2385e-15,0.653,0.654
32,38,ACAT1,acetyl-CoA acetyltransferase 1,9.8525e-08,0.538,0.692
33,39,ACAT2,acetyl-CoA acetyltransferase 2,5.5303e-07,0.686,0.462
34,40,ASIC2,acid sensing ion channel subunit 2,0.99912,0.653,0.538
36,43,ACHE,acetylcholinesterase (Cartwright blood group),0.99827,0.445,0.885
38,47,ACLY,ATP citrate lyase,0.083556,0.563,0.692
41,50,ACO2,aconitase 2,0.20791,0.619,0.654
42,51,ACOX1,acyl-CoA oxidase 1,0.062095,0.61,0.731
45,54,ACP5,"acid phosphatase 5, tartrate resistant",0.078651,0.561,0.731
46,55,ACP3,acid phosphatase 3,2.5463e-16,0.525,0.731
48,58,ACTA1,"actin alpha 1, skeletal muscle",1.1385e-06,0.54,0.769
49,59,ACTA2,"actin alpha 2, smooth muscle",0.93017,0.508,0.846
50,60,ACTB,actin beta,0.98564,0.325,0.923
52,70,ACTC1,actin alpha cardiac muscle 1,0.73668,0.61,0.538
53,71,ACTG1,actin gamma 1,0.0047837,0.477,0.846
54,72,ACTG2,"actin gamma 2, smooth muscle",0.071036,0.505,0.808
55,81,ACTN4,actinin alpha 4,1,0.508,0.808
56,86,ACTL6A,actin like 6A,0.99665,0.678,0.346
58,88,ACTN2,actinin alpha 2,0.99968,0.686,0.462
60,90,ACVR1,activin A receptor type 1,0.3254,0.535,0.731
61,91,ACVR1B,activin A receptor type 1B,0.99969,0.663,0.385
63,93,ACVR2B,activin A receptor type 2B,0.83412,0.601,0.615
64,94,ACVRL1,activin A receptor like type 1,0.00096719,0.493,0.769
65,95,ACY1,aminoacylase 1,6.9169e-09,0.653,0.577
68,100,ADA,adenosine deaminase,2.8825e-12,0.44,0.885
70,102,ADAM10,ADAM metallopeptidase domain 10,1,0.489,0.846
71,103,ADAR,adenosine deaminase RNA specific,0.026282,0.501,0.808
73,105,ADARB2,adenosine deaminase RNA specific B2 (inactive),0.85603,0.716,0.308
76,108,ADCY2,adenylate cyclase 2,0.99898,0.695,0.308
77,109,ADCY3,adenylate cyclase 3,1.9545e-11,0.678,0.615
78,111,ADCY5,adenylate cyclase 5,0.99928,0.617,0.577
79,112,ADCY6,adenylate cyclase 6,0.0058268,0.729,0.5
80,113,ADCY7,adenylate cyclase 7,9.4815e-07,0.656,0.462
81,114,ADCY8,adenylate cyclase 8,1.7766e-06,0.705,0.577
82,115,ADCY9,adenylate cyclase 9,0.97943,0.682,0.538
83,116,ADCYAP1,adenylate cyclase activating polypeptide 1,0.52424,0.51,0.846
85,118,ADD1,adducin 1,0.9883,0.612,0.615
86,119,ADD2,adducin 2,0.9961,0.678,0.615
87,120,ADD3,adducin 3,0.9988,0.641,0.5
89,124,ADH1A,"alcohol dehydrogenase 1A (class I), alpha polypeptide",1.7118e-11,0.647,0.577
90,125,ADH1B,"alcohol dehydrogenase 1B (class I), beta polypeptide",9.934e-07,0.502,0.846
91,126,ADH1C,"alcohol dehydrogenase 1C (class I), gamma polypeptide",,0.547,0.731
92,127,ADH4,"alcohol dehydrogenase 4 (class II), pi polypeptide",8.0684e-07,0.641,0.462
95,131,ADH7,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",1.5123e-11,0.656,0.462
96,132,ADK,adenosine kinase,0.00031276,0.584,0.769
97,133,ADM,adrenomedullin,0.040831,0.436,0.808
98,134,ADORA1,adenosine A1 receptor,0.015215,0.578,0.692
99,135,ADORA2A,adenosine A2a receptor,0.5971,0.526,0.769
103,142,PARP1,poly(ADP-ribose) polymerase 1,0.00033366,0.389,0.923
108,150,ADRA2A,adrenoceptor alpha 2A,0.00081816,0.578,0.615
109,151,ADRA2B,adrenoceptor alpha 2B,4.4533e-06,0.465,0.846
110,152,ADRA2C,adrenoceptor alpha 2C,0.50159,0.682,0.346
111,153,ADRB1,adrenoceptor beta 1,2.8786e-06,0.555,0.769
112,154,ADRB2,adrenoceptor beta 2,0.52545,0.442,0.923
113,155,ADRB3,adrenoceptor beta 3,2.4637e-07,0.532,0.731
114,156,GRK2,G protein-coupled receptor kinase 2,0.99998,0.532,0.654
116,158,ADSL,adenylosuccinate lyase,8.9207e-12,0.631,0.654
121,163,AP2B1,adaptor related protein complex 2 subunit beta 1,0.9983,0.711,0.423
122,164,AP1G1,adaptor related protein complex 1 subunit gamma 1,0.99998,0.89,0.115
123,165,AEBP1,AE binding protein 1,7.3471e-11,0.631,0.654
127,172,AFG3L1P,"AFG3 like matrix AAA peptidase subunit 1, pseudogene",,0.931,0.115
129,174,AFP,alpha fetoprotein,1.1383e-11,0.429,0.885
130,175,AGA,aspartylglucosaminidase,4.2802e-06,0.57,0.808
131,176,ACAN,aggrecan,1,0.528,0.846
132,177,AGER,advanced glycosylation end-product specific receptor,6.3528e-16,0.42,0.885
133,178,AGL,"amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase",2.7564e-27,0.644,0.615
135,182,JAG1,jagged canonical Notch ligand 1,1,0.429,0.808
136,183,AGT,angiotensinogen,4.9706e-08,0.367,0.923
137,185,AGTR1,angiotensin II receptor type 1,0.00053161,0.423,0.846
138,186,AGTR2,angiotensin II receptor type 2,0.0082345,0.496,0.808
140,189,AGXT,alanine--glyoxylate and serine--pyruvate aminotransferase,1.2332e-07,0.593,0.731
141,190,NR0B1,nuclear receptor subfamily 0 group B member 1,0.97025,0.494,0.808
142,191,AHCY,adenosylhomocysteinase,0.035922,0.582,0.692
144,196,AHR,aryl hydrocarbon receptor,0.99999,0.41,0.923
145,197,AHSG,alpha 2-HS glycoprotein,3.209e-10,0.506,0.846
146,199,AIF1,allograft inflammatory factor 1,1.8793e-06,0.521,0.808
148,203,AK1,adenylate kinase 1,0.027319,0.711,0.5
149,204,AK2,adenylate kinase 2,6.2706e-05,0.678,0.423
151,207,AKT1,AKT serine/threonine kinase 1,0.9759,0.311,0.962
152,208,AKT2,AKT serine/threonine kinase 2,0.64432,0.474,0.769
153,210,ALAD,aminolevulinate dehydratase,5.6185e-05,0.556,0.615
155,212,ALAS2,5'-aminolevulinate synthase 2,0.99586,0.606,0.577
156,213,ALB,albumin,0.64329,0.317,0.962
157,214,ALCAM,activated leukocyte cell adhesion molecule,0.73267,0.502,0.808
158,215,ABCD1,ATP binding cassette subfamily D member 1,0.99896,0.563,0.731
159,216,ALDH1A1,aldehyde dehydrogenase 1 family member A1,0.95448,0.46,0.846
160,217,ALDH2,aldehyde dehydrogenase 2 family member,3.3959e-10,0.457,0.885
163,220,ALDH1A3,aldehyde dehydrogenase 1 family member A3,0.14128,0.578,0.654
164,221,ALDH3B1,aldehyde dehydrogenase 3 family member B1,6.2437e-06,0.821,0.346
166,223,ALDH9A1,aldehyde dehydrogenase 9 family member A1,1.0995e-11,0.76,0.269
167,224,ALDH3A2,aldehyde dehydrogenase 3 family member A2,9.4055e-06,0.619,0.769
169,226,ALDOA,"aldolase, fructose-bisphosphate A",0.0013228,0.631,0.615
170,229,ALDOB,"aldolase, fructose-bisphosphate B",7.8786e-07,0.623,0.538
172,231,AKR1B1,aldo-keto reductase family 1 member B,2.0216e-05,0.491,0.885
174,238,ALK,ALK receptor tyrosine kinase,3.2299e-06,0.396,0.846
176,240,ALOX5,arachidonate 5-lipoxygenase,1.2059e-06,0.447,0.885
177,241,ALOX5AP,arachidonate 5-lipoxygenase activating protein,0.070729,0.612,0.731
178,242,ALOX12B,"arachidonate 12-lipoxygenase, 12R type",0.00075626,0.603,0.577
181,246,ALOX15,arachidonate 15-lipoxygenase,1.1397e-23,0.502,0.846
182,247,ALOX15B,arachidonate 15-lipoxygenase type B,1.4819e-18,0.663,0.462
184,249,ALPL,"alkaline phosphatase, biomineralization associated",0.0003636,0.546,0.769
188,257,ALX3,ALX homeobox 3,0.019117,0.578,0.692
190,259,AMBP,alpha-1-microglobulin/bikunin precursor,2.7886e-13,0.537,0.731
194,265,AMELX,amelogenin X-linked,0.074507,0.599,0.769
195,266,AMELY,amelogenin Y-linked,8.3683e-05,0.743,0.269
196,267,AMFR,autocrine motility factor receptor,5.8368e-05,0.599,0.692
197,268,AMH,anti-Mullerian hormone,3.3974e-12,0.476,0.846
198,269,AMHR2,anti-Mullerian hormone receptor type 2,2.7013e-10,0.638,0.423
199,270,AMPD1,adenosine monophosphate deaminase 1,1.9099e-21,0.573,0.692
200,271,AMPD2,adenosine monophosphate deaminase 2,4.5084e-07,0.663,0.577
201,272,AMPD3,adenosine monophosphate deaminase 3,1.1323e-12,0.743,0.385
202,273,AMPH,amphiphysin,1.7006e-05,0.653,0.462
203,274,BIN1,bridging integrator 1,0.77822,0.55,0.692
204,275,AMT,aminomethyltransferase,0.0027214,0.674,0.692
205,276,AMY1A,amylase alpha 1A,0.00032325,0.644,0.731
211,283,ANG,angiogenin,0.28738,0.511,0.769
212,284,ANGPT1,angiopoietin 1,0.95208,0.446,0.808
213,285,ANGPT2,angiopoietin 2,0.83208,0.41,0.846
214,286,ANK1,ankyrin 1,1,0.54,0.885
215,287,ANK2,ankyrin 2,1,0.626,0.538
216,288,ANK3,ankyrin 3,1,0.578,0.654
218,290,ANPEP,"alanyl aminopeptidase, membrane",3.7492e-09,0.462,0.769
219,291,SLC25A4,solute carrier family 25 member 4,0.45334,0.568,0.692
222,301,ANXA1,annexin A1,1.2009e-07,0.442,0.885
223,302,ANXA2,annexin A2,9.7728e-05,0.453,0.808
227,307,ANXA4,annexin A4,1.1858e-08,0.599,0.692
228,308,ANXA5,annexin A5,3.7978e-15,0.458,0.769
229,309,ANXA6,annexin A6,1.0804e-08,0.514,0.846
231,311,ANXA11,annexin A11,4.7001e-10,0.65,0.692
236,317,APAF1,apoptotic peptidase activating factor 1,9.6242e-06,0.525,0.769
237,318,NUDT2,nudix hydrolase 2,0.0057495,0.78,0.154
239,320,APBA1,amyloid beta precursor protein binding family A member 1,0.53701,0.743,0.346
240,321,APBA2,amyloid beta precursor protein binding family A member 2,0.74272,0.7,0.385
243,324,APC,APC regulator of WNT signaling pathway,1,0.373,0.962
244,325,APCS,"amyloid P component, serum",0.031714,0.531,0.808
245,326,AIRE,autoimmune regulator,4.0468e-12,0.516,0.808
246,327,APEH,acylaminoacyl-peptide hydrolase,5.0018e-13,0.666,0.577
247,328,APEX1,apurinic/apyrimidinic endodeoxyribonuclease 1,1.9191e-07,0.458,0.846
248,329,BIRC2,baculoviral IAP repeat containing 2,0.42708,0.535,0.731
249,330,BIRC3,baculoviral IAP repeat containing 3,0.065597,0.491,0.769
250,331,XIAP,X-linked inhibitor of apoptosis,0.91837,0.447,0.808
251,332,BIRC5,baculoviral IAP repeat containing 5,0.055854,0.495,0.731
254,335,APOA1,apolipoprotein A1,0.00054909,0.429,0.885
257,338,APOB,apolipoprotein B,1.9234e-16,0.453,0.808
259,341,APOC1,apolipoprotein C1,0.21685,0.581,0.577
262,344,APOC2,apolipoprotein C2,0.40164,0.606,0.577
263,345,APOC3,apolipoprotein C3,0.010024,0.531,0.731
264,346,APOC4,apolipoprotein C4,8.893e-08,0.743,0.385
265,347,APOD,apolipoprotein D,0.00054449,0.584,0.577
266,348,APOE,apolipoprotein E,0.0018685,0.338,0.962
267,350,APOH,apolipoprotein H,1.5614e-15,0.563,0.769
268,351,APP,amyloid beta precursor protein,0.046544,0.422,0.846
269,353,APRT,adenine phosphoribosyltransferase,5.4539e-13,0.423,0.846
270,354,KLK3,kallikrein related peptidase 3,4.4271e-06,0.443,0.885
271,355,FAS,Fas cell surface death receptor,0.8117,0.372,0.923
272,356,FASLG,Fas ligand,0.18345,0.43,0.885
273,357,SHROOM2,shroom family member 2,0.0029403,0.729,0.385
274,358,AQP1,aquaporin 1 (Colton blood group),2.5697e-07,0.467,0.885
275,359,AQP2,aquaporin 2,2.4855e-06,0.581,0.769
277,361,AQP4,aquaporin 4,0.0022919,0.456,0.885
278,362,AQP5,aquaporin 5,0.053249,0.552,0.769
281,366,AQP9,aquaporin 9,0.24027,0.565,0.808
282,367,AR,androgen receptor,0.98837,0.351,0.846
283,368,ABCC6,ATP binding cassette subfamily C member 6,5.6167e-35,0.54,0.654
285,372,ARCN1,archain 1,0.99997,0.705,0.462
287,374,AREG,amphiregulin,0.35407,0.487,0.769
288,375,ARF1,ADP ribosylation factor 1,0.89967,0.626,0.615
294,383,ARG1,arginase 1,0.00035944,0.476,0.846
296,387,RHOA,ras homolog family member A,0.60405,0.502,0.808
298,389,RHOC,ras homolog family member C,0.76766,0.641,0.308
303,394,ARHGAP5,Rho GTPase activating protein 5,0.99862,0.769,0.192
308,399,RHOH,ras homolog family member H,0.14861,0.666,0.462
311,402,ARL2,ADP ribosylation factor like GTPase 2,0.021417,0.743,0.269
312,403,ARL3,ADP ribosylation factor like GTPase 3,0.0014071,0.603,0.615
313,405,ARNT,aryl hydrocarbon receptor nuclear translocator,0.99581,0.575,0.692
314,406,ARNTL,aryl hydrocarbon receptor nuclear translocator like,0.99444,0.51,0.885
318,410,ARSA,arylsulfatase A,1.0893e-11,0.448,0.923
319,411,ARSB,arylsulfatase B,7.0009e-09,0.595,0.692
320,412,STS,steroid sulfatase,0.80886,0.431,0.846
323,415,ARSL,arylsulfatase L,0.58982,0.663,0.654
328,421,ARVCF,ARVCF delta catenin family member,5.0422e-11,0.54,0.769
331,427,ASAH1,N-acylsphingosine amidohydrolase 1,1.2588e-12,0.526,0.808
332,429,ASCL1,achaete-scute family bHLH transcription factor 1,0.67692,0.552,0.692
337,434,ASIP,agouti signaling protein,0.016298,0.584,0.692
338,435,ASL,argininosuccinate lyase,8.5727e-10,0.593,0.731
339,438,ASMT,acetylserotonin O-methyltransferase,1.2722e-20,0.691,0.346
341,440,ASNS,asparagine synthetase (glutamine-hydrolyzing),9.3611e-06,0.595,0.692
342,443,ASPA,aspartoacylase,0.00041128,0.564,0.731
343,444,ASPH,aspartate beta-hydroxylase,6.6268e-15,0.61,0.615
344,445,ASS1,argininosuccinate synthase 1,1.5095e-09,0.523,0.731
345,460,ASTN1,astrotactin 1,0.99998,0.736,0.308
346,462,SERPINC1,serpin family C member 1,0.99892,0.507,0.769
347,463,ZFHX3,zinc finger homeobox 3,0.44753,0.621,0.654
350,467,ATF3,activating transcription factor 3,0.089296,0.494,0.885
351,468,ATF4,activating transcription factor 4,0.015659,0.507,0.769
354,472,ATM,ATM serine/threonine kinase,5.5884e-47,0.374,0.885
355,473,RERE,arginine-glutamic acid dipeptide repeats,1,0.526,0.846
358,476,ATP1A1,ATPase Na+/K+ transporting subunit alpha 1,1,0.601,0.808
359,477,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2,0.00018093,0.597,0.615
360,478,ATP1A3,ATPase Na+/K+ transporting subunit alpha 3,1,0.544,0.615
363,481,ATP1B1,ATPase Na+/K+ transporting subunit beta 1,0.99881,0.7,0.462
366,486,FXYD2,FXYD domain containing ion transport regulator 2,0.11431,0.78,0.346
368,488,ATP2A2,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,0.99945,0.529,0.808
369,489,ATP2A3,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3,2.247e-09,0.617,0.577
370,490,ATP2B1,ATPase plasma membrane Ca2+ transporting 1,1,0.666,0.5
372,492,ATP2B3,ATPase plasma membrane Ca2+ transporting 3,0.99945,0.631,0.692
373,493,ATP2B4,ATPase plasma membrane Ca2+ transporting 4,0.0015112,0.659,0.577
376,498,ATP5F1A,ATP synthase F1 subunit alpha,0.99945,0.604,0.731
377,501,ALDH7A1,aldehyde dehydrogenase 7 family member A1,1.3923e-22,0.551,0.769
378,506,ATP5F1B,ATP synthase F1 subunit beta,0.97679,0.626,0.654
380,513,ATP5F1D,ATP synthase F1 subunit delta,0.073813,0.674,0.5
381,514,ATP5F1E,ATP synthase F1 subunit epsilon,0.0088748,0.686,0.5
385,522,ATP5PF,ATP synthase peripheral stalk subunit F6,0.006131,0.716,0.538
386,523,ATP6V1A,ATPase H+ transporting V1 subunit A,0.86801,0.579,0.615
387,525,ATP6V1B1,ATPase H+ transporting V1 subunit B1,2.3997e-09,0.695,0.346
388,526,ATP6V1B2,ATPase H+ transporting V1 subunit B2,0.99154,0.606,0.577
391,529,ATP6V1E1,ATPase H+ transporting V1 subunit E1,0.528,0.61,0.769
393,534,ATP6V1G2,ATPase H+ transporting V1 subunit G2,0.0028604,0.839,0.269
395,537,ATP6AP1,ATPase H+ transporting accessory protein 1,0.99079,0.691,0.577
396,538,ATP7A,ATPase copper transporting alpha,0.99983,0.494,0.769
398,540,ATP7B,ATPase copper transporting beta,4.8001e-30,0.529,0.654
399,545,ATR,ATR serine/threonine kinase,3.5177e-09,0.456,0.923
400,546,ATRX,ATRX chromatin remodeler,1,0.452,0.808
401,547,KIF1A,kinesin family member 1A,1,0.559,0.692
402,549,AUH,AU RNA binding methylglutaconyl-CoA hydratase,8.024e-06,0.686,0.346
404,551,AVP,arginine vasopressin,0.074413,0.436,0.846
405,552,AVPR1A,arginine vasopressin receptor 1A,6.8987e-07,0.663,0.5
406,553,AVPR1B,arginine vasopressin receptor 1B,0.00037047,0.705,0.385
407,554,AVPR2,arginine vasopressin receptor 2,0.55589,0.568,0.769
408,558,AXL,AXL receptor tyrosine kinase,0.012951,0.489,0.615
410,563,AZGP1,"alpha-2-glycoprotein 1, zinc-binding",4.1545e-06,0.566,0.769
412,567,B2M,beta-2-microglobulin,0.56167,0.447,0.846
413,570,BAAT,bile acid-CoA:amino acid N-acyltransferase,7.8651e-08,0.578,0.654
416,573,BAG1,BAG cochaperone 1,6.5264e-06,0.538,0.769
418,575,ADGRB1,adhesion G protein-coupled receptor B1,1,0.695,0.231
421,578,BAK1,BCL2 antagonist/killer 1,7.4028e-06,0.555,0.769
422,579,NKX3-2,NK3 homeobox 2,0.63821,0.736,0.308
423,580,BARD1,BRCA1 associated RING domain 1,1.3777e-24,0.597,0.538
424,581,BAX,"BCL2 associated X, apoptosis regulator",0.31746,0.417,0.885
425,582,BBS1,Bardet-Biedl syndrome 1,3.4063e-12,0.593,0.692
426,583,BBS2,Bardet-Biedl syndrome 2,1.0328e-17,0.565,0.654
427,585,BBS4,Bardet-Biedl syndrome 4,1.4549e-16,0.647,0.615
429,587,BCAT2,branched chain amino acid transaminase 2,2.826e-12,0.686,0.385
430,590,BCHE,butyrylcholinesterase,1.0643e-13,0.447,0.923
431,593,BCKDHA,branched chain keto acid dehydrogenase E1 subunit alpha,9.8243e-09,0.695,0.423
432,594,BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta,4.3112e-09,0.682,0.5
433,595,CCND1,cyclin D1,0.89057,0.344,0.923
434,596,BCL2,BCL2 apoptosis regulator,0.55903,0.291,0.885
435,597,BCL2A1,BCL2 related protein A1,0.20785,0.529,0.731
436,598,BCL2L1,BCL2 like 1,0.93667,0.493,0.885
438,602,BCL3,BCL3 transcription coactivator,0.98871,0.541,0.731
440,604,BCL6,BCL6 transcription repressor,0.96038,0.444,0.808
441,605,BCL7A,BAF chromatin remodeling complex subunit BCL7A,0.07823,0.736,0.385
443,607,BCL9,BCL9 transcription coactivator,0.49607,0.595,0.615
446,611,OPN1SW,"opsin 1, short wave sensitive",0.021134,0.519,0.769
447,613,BCR,BCR activator of RhoGEF and GTPase,0.98761,0.431,0.885
449,617,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",4.6972e-13,0.534,0.808
451,622,BDH1,3-hydroxybutyrate dehydrogenase 1,7.5703e-08,0.729,0.423
452,623,BDKRB1,bradykinin receptor B1,0.0046897,0.619,0.731
453,624,BDKRB2,bradykinin receptor B2,0.11863,0.585,0.808
454,627,BDNF,brain derived neurotrophic factor,0.65626,0.345,0.923
455,629,CFB,complement factor B,4.6696e-16,0.532,0.769
456,631,BFSP1,beaded filament structural protein 1,1.8463e-07,0.729,0.231
457,632,BGLAP,bone gamma-carboxyglutamate protein,4.6155e-08,0.462,0.846
458,633,BGN,biglycan,0.45229,0.484,0.808
459,634,CEACAM1,CEA cell adhesion molecule 1,0.00078816,0.525,0.731
461,636,BICD1,BICD cargo adaptor 1,1.5724e-05,0.821,0.231
462,637,BID,BH3 interacting domain death agonist,1.5646e-11,0.555,0.808
463,638,BIK,BCL2 interacting killer,5.0334e-06,0.653,0.462
464,639,PRDM1,PR/SET domain 1,0.9565,0.538,0.731
465,640,BLK,"BLK proto-oncogene, Src family tyrosine kinase",8.348e-14,0.585,0.769
466,641,BLM,BLM RecQ like helicase,1.5376e-15,0.535,0.808
469,644,BLVRA,biliverdin reductase A,0.00034786,0.663,0.423
470,645,BLVRB,biliverdin reductase B,4.1869e-06,0.695,0.423
472,648,BMI1,"BMI1 proto-oncogene, polycomb ring finger",0.94286,0.448,0.808
473,649,BMP1,bone morphogenetic protein 1,0.00088564,0.554,0.769
474,650,BMP2,bone morphogenetic protein 2,0.98799,0.432,0.846
476,652,BMP4,bone morphogenetic protein 4,0.9564,0.422,0.808
477,653,BMP5,bone morphogenetic protein 5,0.00090084,0.653,0.577
478,654,BMP6,bone morphogenetic protein 6,0.75947,0.531,0.808
479,655,BMP7,bone morphogenetic protein 7,0.12727,0.498,0.769
481,657,BMPR1A,bone morphogenetic protein receptor type 1A,0.90333,0.522,0.731
482,658,BMPR1B,bone morphogenetic protein receptor type 1B,0.99863,0.573,0.615
483,659,BMPR2,bone morphogenetic protein receptor type 2,0.99998,0.538,0.654
488,664,BNIP3,BCL2 interacting protein 3,1.9687e-05,0.52,0.731
489,665,BNIP3L,BCL2 interacting protein 3 like,0.15274,0.636,0.654
490,666,BOK,BCL2 family apoptosis regulator BOK,0.16279,0.722,0.346
491,667,DST,dystonin,1,0.552,0.846
492,668,FOXL2,forkhead box L2,0.87762,0.542,0.692
496,672,BRCA1,BRCA1 DNA repair associated,9.2157e-29,0.367,0.923
497,673,BRAF,"B-Raf proto-oncogene, serine/threonine kinase",0.99995,0.319,0.846
498,675,BRCA2,BRCA2 DNA repair associated,2.3581e-25,0.379,0.846
500,677,ZFP36L1,ZFP36 ring finger protein like 1,0.67406,0.659,0.5
503,682,BSG,basigin (Ok blood group),2.5873e-05,0.458,0.769
504,683,BST1,bone marrow stromal cell antigen 1,4.2099e-11,0.67,0.423
507,686,BTD,biotinidase,1.4972e-07,0.628,0.654
509,688,KLF5,Kruppel like factor 5,0.8181,0.534,0.769
512,694,BTG1,BTG anti-proliferation factor 1,0.53641,0.564,0.692
513,695,BTK,Bruton tyrosine kinase,0.99996,0.464,0.808
515,699,BUB1,BUB1 mitotic checkpoint serine/threonine kinase,4.8813e-09,0.528,0.731
517,701,BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,6.998e-10,0.502,0.808
519,706,TSPO,translocator protein,0.00027398,0.444,0.885
521,710,SERPING1,serpin family G member 1,0.96351,0.507,0.769
522,712,C1QA,complement C1q A chain,0.0038204,0.623,0.654
523,713,C1QB,complement C1q B chain,0.15392,0.711,0.538
525,715,C1R,complement C1r,0.77888,0.638,0.654
526,716,C1S,complement C1s,0.00067654,0.705,0.462
527,717,C2,complement C2,1.3494e-16,0.617,0.692
528,718,C3,complement C3,0.90421,0.445,0.885
530,720,C4A,complement C4A (Rodgers blood group),1.5416e-11,0.563,0.769
531,721,C4B,complement C4B (Chido blood group),0.83464,0.603,0.808
534,726,CAPN5,calpain 5,2.5197e-08,0.663,0.615
535,727,C5,complement C5,8.079e-24,0.55,0.731
536,728,C5AR1,complement C5a receptor 1,0.40249,0.513,0.808
537,729,C6,complement C6,5.8646e-22,0.7,0.615
540,732,C8B,complement C8 beta chain,2.3057e-19,0.76,0.269
543,735,C9,complement C9,1.6323e-24,0.619,0.692
548,745,MYRF,myelin regulatory factor,1,0.584,0.731
549,746,TMEM258,transmembrane protein 258,0.0018504,0.644,0.654
554,754,PTTG1IP,PTTG1 interacting protein,0.0049827,0.678,0.346
555,755,CFAP410,cilia and flagella associated protein 410,3.291e-07,0.633,0.615
558,759,CA1,carbonic anhydrase 1,4.7481e-11,0.623,0.769
559,760,CA2,carbonic anhydrase 2,1.6946e-06,0.506,0.808
560,761,CA3,carbonic anhydrase 3,0.0017251,0.682,0.5
561,762,CA4,carbonic anhydrase 4,7.1318e-06,0.674,0.577
562,763,CA5A,carbonic anhydrase 5A,7.9051e-05,0.686,0.5
565,767,CA8,carbonic anhydrase 8,0.0082516,0.595,0.654
566,768,CA9,carbonic anhydrase 9,1.3027e-09,0.483,0.731
570,773,CACNA1A,calcium voltage-gated channel subunit alpha1 A,1,0.489,0.769
571,774,CACNA1B,calcium voltage-gated channel subunit alpha1 B,0.99998,0.65,0.577
572,775,CACNA1C,calcium voltage-gated channel subunit alpha1 C,1,0.51,0.846
573,776,CACNA1D,calcium voltage-gated channel subunit alpha1 D,1,0.582,0.577
574,777,CACNA1E,calcium voltage-gated channel subunit alpha1 E,1,0.65,0.577
575,778,CACNA1F,calcium voltage-gated channel subunit alpha1 F,1.2337e-05,0.595,0.5
576,779,CACNA1S,calcium voltage-gated channel subunit alpha1 S,6.2588e-12,0.595,0.692
577,780,DDR1,discoidin domain receptor tyrosine kinase 1,4.6331e-06,0.497,0.808
578,781,CACNA2D1,calcium voltage-gated channel auxiliary subunit alpha2delta 1,0.99989,0.641,0.5
579,782,CACNB1,calcium voltage-gated channel auxiliary subunit beta 1,0.78689,0.792,0.154
580,783,CACNB2,calcium voltage-gated channel auxiliary subunit beta 2,2.6719e-06,0.659,0.538
582,785,CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,0.030679,0.653,0.231
584,788,SLC25A20,solute carrier family 25 member 20,1.1972e-07,0.563,0.769
585,790,CAD,"carbamoyl-phosphate synthetase 2, aspartate transcarbamylase, and dihydroorotase",0.99993,0.482,0.846
589,796,CALCA,calcitonin related polypeptide alpha,0.015562,0.416,0.923
591,799,CALCR,calcitonin receptor,3.1176e-09,0.464,0.846
593,801,CALM1,calmodulin 1,0.94473,0.472,0.808
594,805,CALM2,calmodulin 2,0.92086,0.472,0.808
595,808,CALM3,calmodulin 3,0.92749,0.485,0.846
